total_number_routes=118
total_route_len=4598582.996
#rnum #length #load #depot-#customers-#customers-...-#customers-#depot
1 33171.255 1973 4001-18-3963-1953-1269-3703-771-616-3903-2774-2946-3348-3014-2009-3271-2039-115-2140-787-2564-802-2390-3876-91-150-2634-684-2537-3815-1462-547-3784-1895-1847-3092-3585--4001
2 41777.826 1974 4001-77-2582-3635-1349-2099-17-1443-2305-3307-2740-2783-3263-2428-866-2676-2641-139-3868-3523-3163-3359-2933-1855-569-3779-1961-398-1939-686-3545-1874-1491-1297-3491-3485-3471-1490-392--4001
3 63153.684 1997 4001-86-2792-1685-3484-3475-1702-1614-1441-3020-2186-2437-3362-2144-1463-2670-836-3832-3633-2886-673-1080-2329-524-3736-795-2271-1159-2937-1321-608-284-548-382-694-2155-3667-1426-1559--4001
4 36689.173 1926 4001-90-3956-1763-3438-3157-3046-3822-1337-3274-3141-2924-3947-1694-2331-2004-3902-1436-3636-2881-3571-3303-1878-1759-3537-1166-1550-1178-3268-3419-629-323-1547-3637-3436--4001
5 45345.807 1978 4001-104-3222-10-2758-301-994-3217-1746-783-1306-2081-1139-1185-53-1823-3873-3629-3526-311-3451-3442-2909-2135-3555-2645-1199-3002-1999-2719-3041-3257-3360-1635-3649-767-2936--4001
6 58824.094 1997 4001-128-626-730-935-1396-1320-1934-2064-2533-1191-534-362-3027-2118-867-815-2067-2588-1194-1837-3655-1732-1471-2538-3116-2461-2097-3032-945-2510-3207-3529-1809-3536-154-1915-1087-1668-1984-2177--4001
7 62377.268 1908 4001-203-1842-2347-765-2562-3494-268-1285-2636-597-2415-2213-1860-295-2800-907-3417-3858-3866-3657-3684-2170-3035-656-3591-2665-2160-561-3129-1839-3765-612-2866-2811-40-1475-549-662-3610-2247--4001
8 56760.052 1988 4001-237-3991-3186-3328-2785-3777-430-3557-3804-1826-999-2448-492-2355-2938-895-1294-1409-251-1518-2883-1237-1183-659-2024-620-1221-1682-2637-2164-2548-1354-958-1646-3842-1066-3838-3562-1583-2060--4001
9 37447.549 1933 4001-293-2066-3914-1342-1043-1996-2204-2589-1249-700-2188-3834-3100-1157-1850-2491-3889-927-2354-1165-1423-926-2372-3820-35-1514-3260-3514-1667-1052-1538-384-2391-3048-2963-1408-3334-2724--4001
10 50648.141 2000 4001-322-3155-2695-349-1920-1428-6-1486-1885-3182-3185-581-715-868-889-3134-1862-2092-2890-782-74-373-3075-745-1013-1630-411-861-3607-2080-1990-2115-919-2817-1742-1982-2280-2950-1532-1252-3846-997--4001
11 30085.818 1044 4001-341-1556-1962-48-2662-2726-3666-2833-3877-1386-509-2689-690-789-3944-566-2420-1627-1753-911--4001
12 18536.041 1125 4001-418-3343-2920-1593-2278-1916-1825-1975-1439-3153-312-344-2333-2911-1034-2733-1588-2721-3643--4001
13 36684.001 1991 4001-433-3259-681-3774-2457-3583-62-793-3423-1351-1708-3920-416-2979-2959-2544-3239-3495-1849-2570-1552-2694-1737-2542-1179-1454-1908-2382-2707-2513-1181-2527-3785-987-2778-477-3704-1301-2094--4001
14 37251.590 1821 4001-444-290-3985-2782-3108-3857-2757-3582-3045-3105-175-963-3810-1611-2663-3814-2638-1924-859-3726-1136-326-358-2708-2298-2408-3718-3572-2130-2804-3984-2942-2027-2344-3863-1040--4001
